Date,Open,High,Low,Close
2012-01-03,948.0,966.0,930.0,948.0
2012-01-04,942.0,954.0,912.0,948.0
2012-01-05,936.0,954.0,924.0,954.0
2012-01-06,960.0,990.0,942.0,990.0
2012-01-09,996.0,1014.0,984.0,996.0
2012-01-10,1002.0,1008.0,978.0,984.0
2012-01-11,984.0,1026.0,960.0,1014.0
2012-01-12,1008.0,1014.0,990.0,1008.0
2012-01-13,1008.0,1014.0,972.0,990.0
2012-01-17,1008.0,1014.0,984.0,990.0
2012-01-18,1008.0,1014.0,972.0,1014.0
2012-01-19,1020.0,1044.0,1008.0,1020.0
2012-01-20,1014.0,1020.0,990.0,1008.0
2012-01-23,1008.0,1008.0,978.0,978.0
2012-01-24,942.0,954.0,882.0,936.0
2012-01-25,930.0,954.0,930.0,948.0
2012-01-26,966.0,990.0,960.0,978.0
2012-01-27,972.0,984.0,960.0,984.0
2012-01-30,990.0,1002.0,978.0,1002.0
2012-01-31,1002.0,1044.0,990.0,1026.0
2012-02-01,1050.0,1080.0,1038.0,1062.0
2012-02-02,1050.0,1092.0,1050.0,1080.0
2012-02-03,1098.0,1122.0,1086.0,1098.0
2012-02-06,1110.0,1116.0,1086.0,1098.0
2012-02-07,1086.0,1098.0,1050.0,1068.0
2012-02-08,1074.0,1086.0,1026.0,1050.0
2012-02-09,1056.0,1062.0,1020.0,1020.0
2012-02-10,1020.0,1020.0,978.0,984.0
2012-02-13,1020.0,1056.0,996.0,1056.0
2012-02-14,1068.0,1092.0,1008.0,1014.0
2012-02-15,1014.0,1026.0,972.0,978.0
2012-02-16,984.0,1002.0,972.0,978.0
2012-02-17,990.0,990.0,960.0,984.0
2012-02-21,960.0,984.0,948.0,960.0
2012-02-22,954.0,960.0,936.0,960.0
2012-02-23,966.0,966.0,942.0,954.0
2012-02-24,972.0,972.0,948.0,948.0
2012-02-27,954.0,960.0,942.0,948.0
2012-02-28,960.0,984.0,948.0,984.0
2012-02-29,996.0,1044.0,990.0,1032.0
2012-03-01,1038.0,1038.0,996.0,1014.0
